round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
54,3.8354,0.1612,3.8494,0.1651,3.7712,0.1659
55,3.8285,0.1638,3.8238,0.1682,3.7554,0.1670
56,3.8623,0.1626,3.8632,0.1682,3.7612,0.1673
57,3.8276,0.1698,3.8624,0.1695,3.7607,0.1693
58,3.8883,0.1656,3.8733,0.1713,3.7833,0.1705
59,3.8483,0.1666,3.8496,0.1673,3.7496,0.1705
60,3.8644,0.1648,3.8725,0.1723,3.7753,0.1754
61,3.8904,0.1640,3.8974,0.1709,3.7729,0.1734
62,3.9463,0.1574,3.9318,0.1730,3.8281,0.1734
63,3.8951,0.1646,3.9051,0.1742,3.7941,0.1772
64,3.9319,0.1690,3.9315,0.1769,3.8307,0.1764
65,3.9301,0.1618,3.9363,0.1680,3.8042,0.1746
66,3.9419,0.1700,3.9792,0.1772,3.8348,0.1756
67,3.9771,0.1714,3.9851,0.1771,3.8321,0.1799
68,3.9902,0.1714,4.0234,0.1764,3.8698,0.1798
69,3.9891,0.1704,3.9973,0.1769,3.8496,0.1794
70,4.0529,0.1638,4.0555,0.1772,3.9002,0.1793
71,4.0280,0.1662,4.0484,0.1770,3.8855,0.1814
72,4.0399,0.1654,4.0553,0.1751,3.8898,0.1813
73,4.0395,0.1774,4.1044,0.1777,3.9151,0.1829
74,4.0477,0.1698,4.0720,0.1785,3.9043,0.1819
75,4.0802,0.1788,4.1238,0.1800,3.9175,0.1854
76,4.1062,0.1736,4.1539,0.1772,3.9385,0.1867
77,4.0803,0.1732,4.1496,0.1811,3.9121,0.1857
78,4.1460,0.1706,4.2253,0.1805,3.9789,0.1879
79,4.1081,0.1750,4.1607,0.1825,3.9450,0.1864
80,4.2078,0.1784,4.2685,0.1800,4.0105,0.1894
81,4.1707,0.1756,4.2406,0.1829,4.0065,0.1880
82,4.1791,0.1734,4.2284,0.1791,3.9889,0.1868
83,4.2289,0.1808,4.3122,0.1766,4.0498,0.1917
84,4.2776,0.1694,4.3613,0.1815,4.0855,0.1900
85,4.2381,0.1766,4.3312,0.1815,4.0411,0.1913
86,4.3045,0.1772,4.3642,0.1836,4.0938,0.1939
87,4.3036,0.1772,4.3843,0.1807,4.0916,0.1939
88,4.3014,0.1734,4.3624,0.1820,4.0634,0.1968
89,4.3496,0.1766,4.4442,0.1816,4.1426,0.1928
90,4.4083,0.1732,4.5134,0.1805,4.1792,0.1955
91,4.3778,0.1750,4.4590,0.1803,4.1072,0.1966
92,4.4436,0.1730,4.5407,0.1834,4.1990,0.1971
93,4.4355,0.1726,4.5567,0.1810,4.1962,0.1956
94,4.4636,0.1736,4.5679,0.1842,4.2111,0.1974
95,4.4916,0.1748,4.5762,0.1846,4.2222,0.1970
96,4.5014,0.1754,4.5953,0.1860,4.2323,0.1998
97,4.5414,0.1748,4.6596,0.1836,4.2885,0.1986
98,4.4483,0.1730,4.6050,0.1820,4.2161,0.2006
99,4.6340,0.1768,4.7264,0.1865,4.3272,0.2018
100,4.5918,0.1804,4.7158,0.1853,4.3095,0.2007
1,4.6037,0.0098,4.6040,0.0102,4.6041,0.0109
2,4.6011,0.0138,4.6014,0.0119,4.6017,0.0124
3,4.5966,0.0106,4.5974,0.0137,4.5981,0.0120
4,4.5904,0.0114,4.5908,0.0139,4.5923,0.0122
5,4.5796,0.0150,4.5803,0.0170,4.5826,0.0169
6,4.5597,0.0286,4.5619,0.0265,4.5645,0.0266
7,4.5249,0.0290,4.5314,0.0277,4.5326,0.0301
8,4.4711,0.0338,4.4778,0.0366,4.4785,0.0368
9,4.3971,0.0420,4.3986,0.0427,4.3989,0.0442
10,4.2979,0.0486,4.2907,0.0495,4.2957,0.0506
11,4.2152,0.0588,4.2061,0.0598,4.2093,0.0606
12,4.1568,0.0654,4.1484,0.0696,4.1571,0.0659
13,4.1293,0.0700,4.1149,0.0731,4.1248,0.0700
14,4.1049,0.0782,4.0936,0.0775,4.1048,0.0730
15,4.0850,0.0778,4.0621,0.0797,4.0820,0.0750
16,4.0693,0.0836,4.0545,0.0859,4.0665,0.0799
17,4.0487,0.0864,4.0207,0.0917,4.0440,0.0862
18,4.0285,0.0926,4.0099,0.0942,4.0282,0.0878
19,4.0096,0.0928,3.9886,0.1011,4.0123,0.0911
20,3.9838,0.0968,3.9757,0.1027,3.9951,0.0938
21,3.9856,0.0988,3.9558,0.1045,3.9850,0.0990
22,3.9715,0.1028,3.9483,0.1079,3.9708,0.0992
